respondent_c,a2,a3a,a3b,a3c,a3d,a3e,a3f,a3g,a3h,a3i,a3j,a3k,a3l,a4a,a4g,a4h,a4c,a4d,a4e,a4f,a4i,a5,b1,b3,b6a,b6b,b6c,b6d,b6e,b6f,b6g,b7a,b7b,b7c,b7d,b7e,b7f,b8a
cwda0001,11,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,9,3,2,5,2,4,2,6,2,2,2,1,1,1,6,#NULL!
cola0003,16,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,16,2,3,4,2,1,1,1,1,1,2,1,1,1,1,#NULL!
cgta0005,12,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5,11,2,4,2,3,2,4,2,1,2,4,4,4,4,2,#NULL!
ccxa0006,15,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,10,2,2,3,2,2,1,2,1,2,2,2,2,2,1,#NULL!
ceub0012,9,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,7,2,1,1,1,1,1,1,1,4,5,3,2,2,1,1
cwbc0014,16,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,13,2,2,2,2,2,1,1,1,1,2,2,1,1,1,#NULL!
cojc0016,10,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,6,2,1,2,4,1,1,4,1,1,4,2,4,1,1,#NULL!
cucd0021,10,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,7,2,2,2,6,1,2,6,1,2,5,2,1,6,1,#NULL!
cmkd0023,9,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,9,2,2,2,1,1,1,1,1,3,1,1,1,3,4,2
ciod0024,12,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,12,3,4,4,4,4,2,2,2,1,6,2,4,1,1,#NULL!
csde0028,15,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,14,2,3,3,2,1,1,6,1,2,4,2,2,2,1,#NULL!
cywe0033,13,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,12,2,2,3,2,1,1,2,1,2,2,2,2,1,1,#NULL!
