respondent_c,a2,a3a,a3b,a3c,a3d,a3e,a3f,a3g,a3h,a3i,a3j,a3k,a3l,a4a,a4g,a4h,a4c,a4d,a4e,a4f,a4i,a5,b1,b3,b6a,b6b,b6c,b6d,b6e,b6f,b6g,b7a,b7b,b7c,b7d,b7e,b7f,b8a
csha0002,9,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,9,4,1,4,1,4,1,4,4,1,1,4,1,1,4,#NULL!
cyab0007,14,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4,12,3,1,5,2,1,2,2,1,2,5,2,2,2,5,#NULL!
cmmb0010,15,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,6,13,3,5,7,4,5,2,5,1,5,5,2,1,1,1,1
csfc0015,11,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,9,1,2,1,5,1,1,1,2,2,2,2,2,5,4,#NULL!
ccvc0019,15,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,14,3,4,4,1,1,1,4,1,1,4,1,4,4,1,#NULL!
cyyc0020,15,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,8,3,2,5,5,5,1,5,1,1,5,2,2,5,2,#NULL!
cqgd0022,12,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4,12,3,1,4,5,1,1,4,1,4,4,1,1,1,1,2
cawd0026,13,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,11,2,1,2,1,2,1,1,4,2,2,1,1,1,2,#NULL!
cohe0029,14,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4,10,2,4,4,3,3,4,4,2,2,2,4,4,2,5,#NULL!
cmif0036,10,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,8,1,1,1,1,1,1,1,1,1,4,1,1,1,1,#NULL!
cyug0046,12,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,12,3,1,1,2,1,1,1,1,4,5,5,5,1,1,1
cuyg0047,12,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,9,4,2,5,1,1,1,5,1,1,5,7,1,1,1,#NULL!
cmgh0049,16,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,10,4,7,7,6,7,2,6,1,1,7,2,2,2,1,#NULL!
codi0055,15,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4,7,3,4,5,2,2,2,3,2,6,6,4,4,6,6,2
ckhi0056,14,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,10,3,1,2,5,7,3,1,3,2,5,3,1,5,1,#NULL!
cgli0057,13,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4,12,4,2,2,4,2,1,5,1,2,6,1,1,1,1,#NULL!
cqaj0061,9,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,15,3,2,2,2,2,1,2,2,2,2,2,2,2,1,#NULL!
ciij0063,9,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,8,2,1,1,2,2,1,1,2,1,1,2,2,1,1,#NULL!
cwtj0066,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,17,2,5,5,4,2,5,5,5,5,5,5,4,2,5,2
csxj0067,14,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,12,3,1,2,2,1,1,2,5,5,5,5,5,2,2,2
cgjk0070,13,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,12,1,2,3,2,2,2,2,2,2,2,2,1,1,2,#NULL!
cuuk0073,11,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,10,2,1,2,2,1,1,1,1,1,4,1,2,2,1,#NULL!
cigl0076,12,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,9,2,1,2,1,1,1,2,1,1,2,2,2,2,1,#NULL!
cekl0077,15,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,15,4,2,4,4,4,2,2,4,2,7,1,1,1,1,#NULL!
cghm0083,11,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,9,3,1,1,1,2,1,2,2,1,1,1,1,1,2,#NULL!
cclm0084,10,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,#NULL!
cqwm0087,15,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,12,3,1,2,2,2,2,2,1,1,1,2,1,1,2,#NULL!
cien0089,16,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,15,3,2,5,1,2,2,2,1,2,5,1,1,2,1,#NULL!
cein0090,16,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,13,2,4,4,1,2,2,1,1,3,2,1,2,2,2,2
camn0091,10,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,9,1,1,1,1,3,1,1,1,1,1,1,1,1,1,#NULL!
cstn0093,11,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,5,4,1,5,1,3,1,1,1,1,1,1,1,5,1,#NULL!
coxn0094,11,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,3,7,1,1,1,2,4,1,1,4,1,2,2,1,1,1,#NULL!
cgfo0096,13,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,11,2,1,1,2,7,7,2,2,3,2,4,5,5,7,1
